frame,time_s,lit_pixels,display_sha256
213,23.844364279004367,114,ba42124fcf67e4c0e0d5bff90f7978ccff4c803d33cd86e95f0939c9de0e6066
214,23.906864279004367,109,89642e854ef86509866408668a164303954b76b49d2b1f53671e31feea7adaea
215,23.969364279004367,108,df1c593f6a3dbc9387e92c0f791b9e5ebd63ed3ca39d856d4be14b759b01c235
216,24.031864279004367,96,1809aea22e35660722f713edfa020e98ac36505022178e74f0e333bb0b616133
217,24.094364279004367,109,b96fceb93b015d007f34e5d4f9ea018843affd1fd49250fb9affca1b3a192b66
218,24.156864279004367,119,456960ad958a739c18d8f2375505f60a4ee3357b504200bff7d861a1452d14de
219,24.219364279004367,116,b9c5438239ab2ac9660695452d5ccfd7283296da4c8b0d756f09d5971a30ccf6
220,24.281864279004367,122,52a90169d90d1866e9a4ca3c7277f4c4f999d9ab62f313ba83704e45d5a7baa3
221,24.344364279004367,123,d3093281f36f88fcd891c56289cfa3097e867341dee5f40ff872990642249f0a
222,24.406864279004367,121,334f55bb5fe87c3f3d30e5c2e2a70e64f5f3d495acae86895a45fd4209ae9e3c
223,24.469364279004367,126,4b81610dbc459d7d5668dbc3f69612b6fa1b08cd29090b0e17353e5b616dae5c
224,24.531864279004367,131,01c2760f37a7233c7574e1bc72b2020976e5517e101acc5e2a1fba5ac90c9c34
225,24.594364279004367,132,d76b3bb155678fa83c3f0e2bf7d6d2ea6ce5bbd3f267a13c3f0ef92cd92e0e90
226,24.656864279004367,137,066bbc043f34a48dae74dd8f7f4e4209714624a4b98207751576e80599d2c0f0
227,24.719364279004367,140,e097c109672ed17822432ab1958cab5b27b74aefe420024884672daa518fc0ab
228,24.781864279004367,142,acf760b52e9abc4562480e1a47212a43891040dea69f5610f99c69dd64d6fc73
229,24.844364279004367,145,1c8562c0ce11161991226e1109c1f9f398a3749cbd33c93e9b49b68b184cbfe3
230,24.906864279004367,149,115eb56cbde56e87d7c02cd91f5e8fd483ced386f6a6a4385bb274154949907d
231,24.969364279004367,143,f2e609f9bd1bd7e01a0724bdf457e0b4fcd400dead77a67e2103458d1446609f
232,25.031864279004367,140,2d2e155cb53c45d7b797b074f203d3928e3c3225931864dfcb84efdacf9f3c07
233,25.094364279004367,142,30f6982d47276fd3c06802d730106ac97250c502037015424aa05aa6eab11785
234,25.156864279004367,148,7a4afc07213e189549b242e8e2be96573dc653a6f29da854fbf83e7872bb3212
